    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.135938  2.824262  4.136686  4.135661
  1.136328  2.825878  4.137710  4.136686
  1.136719  2.827494  4.138734  4.137710
  1.137109  2.829111  4.139758  4.138734
  1.137500  2.830728  4.140781  4.139758
  1.137891  2.832345  4.141804  4.140781
  1.138281  2.833963  4.142826  4.141804
  1.138672  2.835581  4.143847  4.142826
  1.139063  2.837200  4.144869  4.143847
  1.139453  2.838819  4.145889  4.144869
  1.139844  2.840439  4.146910  4.145889
  1.140234  2.842058  4.147930  4.146910
  1.140625  2.843679  4.148949  4.147930
  1.141016  2.845299  4.149968  4.148949
  1.141406  2.846921  4.150986  4.149968
  1.141797  2.848542  4.152004  4.150986
  1.142188  2.850164  4.153022  4.152004
  1.142578  2.851786  4.154039  4.153022
  1.142969  2.853409  4.155055  4.154039
  1.143359  2.855032  4.156071  4.155055
  1.143750  2.856655  4.157087  4.156071
  1.144141  2.858279  4.158102  4.157087
  1.144531  2.859903  4.159116  4.158102
  1.144922  2.861528  4.160131  4.159116
  1.145313  2.863153  4.161144  4.160131
  1.145703  2.864779  4.162157  4.161144
  1.146094  2.866404  4.163170  4.162157
  1.146484  2.868031  4.164182  4.163170
  1.146875  2.869657  4.165194  4.164182
  1.147266  2.871284  4.166205  4.165194
  1.147656  2.872912  4.167216  4.166205
  1.148047  2.874540  4.168226  4.167216
  1.148438  2.876168  4.169236  4.168226
  1.148828  2.877796  4.170246  4.169236
  1.149219  2.879425  4.171254  4.170246
  1.149609  2.881055  4.172263  4.171254
  1.150000  2.882685  4.173271  4.172263
  1.150391  2.884315  4.174278  4.173271
  1.150781  2.885945  4.175285  4.174278
  1.151172  2.887576  4.176291  4.175285
  1.151563  2.889208  4.177297  4.176291
  1.151953  2.890839  4.178303  4.177297
  1.152344  2.892472  4.179308  4.178303
  1.152734  2.894104  4.180312  4.179308
  1.153125  2.895737  4.181316  4.180312
  1.153516  2.897370  4.182320  4.181316
  1.153906  2.899004  4.183323  4.182320
  1.154297  2.900638  4.184325  4.183323
  1.154688  2.902273  4.185327  4.184325
  1.155078  2.903908  4.186328  4.185327
  1.155469  2.905543  4.187329  4.186328
  1.155859  2.907179  4.188330  4.187329
  1.156250  2.908815  4.189330  4.188330
  1.156641  2.910451  4.190330  4.189330
  1.157031  2.912088  4.191329  4.190330
  1.157422  2.913725  4.192327  4.191329
  1.157813  2.915363  4.193325  4.192327
  1.158203  2.917001  4.194323  4.193325
  1.158594  2.918639  4.195320  4.194323
  1.158984  2.920278  4.196316  4.195320
  1.159375  2.921917  4.197312  4.196316
  1.159766  2.923557  4.198308  4.197312
  1.160156  2.925197  4.199303  4.198308
  1.160547  2.926837  4.200297  4.199303
  1.160938  2.928478  4.201291  4.200297
  1.161328  2.930119  4.202285  4.201291
  1.161719  2.931761  4.203278  4.202285
  1.162109  2.933402  4.204270  4.203278
  1.162500  2.935045  4.205262  4.204270
  1.162891  2.936687  4.206254  4.205262
  1.163281  2.938330  4.207244  4.206254
  1.163672  2.939974  4.208235  4.207244
  1.164063  2.941618  4.209225  4.208235
  1.164453  2.943262  4.210214  4.209225
  1.164844  2.944907  4.211203  4.210214
  1.165234  2.946552  4.212192  4.211203
  1.165625  2.948197  4.213179  4.212192
  1.166016  2.949843  4.214167  4.213179
  1.166406  2.951489  4.215154  4.214167
  1.166797  2.953135  4.216140  4.215154
  1.167188  2.954782  4.217126  4.216140
  1.167578  2.956430  4.218111  4.217126
  1.167969  2.958077  4.219096  4.218111
  1.168359  2.959725  4.220080  4.219096
  1.168750  2.961374  4.221064  4.220080
  1.169141  2.963023  4.222047  4.221064
  1.169531  2.964672  4.223030  4.222047
  1.169922  2.966322  4.224012  4.223030
  1.170313  2.967972  4.224994  4.224012
  1.170703  2.969622  4.225975  4.224994
  1.171094  2.971273  4.226956  4.225975
  1.171484  2.972924  4.227936  4.226956
  1.171875  2.974576  4.228915  4.227936
  1.172266  2.976227  4.229894  4.228915
  1.172656  2.977880  4.230873  4.229894
  1.173047  2.979532  4.231851  4.230873
  1.173438  2.981186  4.232828  4.231851
  1.173828  2.982839  4.233805  4.232828
  1.174219  2.984493  4.234782  4.233805
  1.174609  2.986147  4.235757  4.234782
  1.175000  2.987802  4.236733  4.235757
  1.175391  2.989457  4.237708  4.236733
  1.175781  2.991112  4.238682  4.237708
  1.176172  2.992768  4.239656  4.238682
  1.176563  2.994424  4.240629  4.239656
  1.176953  2.996080  4.241602  4.240629
  1.177344  2.997737  4.242574  4.241602
  1.177734  2.999394  4.243545  4.242574
  1.178125  3.001052  4.244516  4.243545
  1.178516  3.002710  4.245487  4.244516
  1.178906  3.004368  4.246457  4.245487
  1.179297  3.006027  4.247426  4.246457
  1.179688  3.007686  4.248395  4.247426
  1.180078  3.009346  4.249364  4.248395
  1.180469  3.011006  4.250332  4.249364
  1.180859  3.012666  4.251299  4.250332
  1.181250  3.014327  4.252266  4.251299
  1.181641  3.015988  4.253232  4.252266
  1.182031  3.017649  4.254197  4.253232
  1.182422  3.019311  4.255163  4.254197
  1.182813  3.020973  4.256127  4.255163
  1.183203  3.022636  4.257091  4.256127
  1.183594  3.024299  4.258055  4.257091
  1.183984  3.025962  4.259018  4.258055
  1.184375  3.027626  4.259980  4.259018
  1.184766  3.029290  4.260942  4.259980
  1.185156  3.030954  4.261903  4.260942
  1.185547  3.032619  4.262864  4.261903
  1.185938  3.034284  4.263824  4.262864
  1.186328  3.035950  4.264784  4.263824
  1.186719  3.037616  4.265743  4.264784
  1.187109  3.039282  4.266701  4.265743
  1.187500  3.040949  4.267659  4.266701
  1.187891  3.042616  4.268617  4.267659
  1.188281  3.044283  4.269574  4.268617
  1.188672  3.045951  4.270530  4.269574
  1.189063  3.047619  4.271486  4.270530
  1.189453  3.049288  4.272441  4.271486
  1.189844  3.050957  4.273396  4.272441
  1.190234  3.052626  4.274350  4.273396
  1.190625  3.054295  4.275303  4.274350
  1.191016  3.055966  4.276256  4.275303
  1.191406  3.057636  4.277209  4.276256
  1.191797  3.059307  4.278161  4.277209
  1.192188  3.060978  4.279112  4.278161
  1.192578  3.062649  4.280063  4.279112
  1.192969  3.064321  4.281013  4.280063
  1.193359  3.065994  4.281962  4.281013
  1.193750  3.067666  4.282912  4.281962
  1.194141  3.069339  4.283860  4.282912
  1.194531  3.071013  4.284808  4.283860
  1.194922  3.072686  4.285755  4.284808
  1.195313  3.074360  4.286702  4.285755
  1.195703  3.076035  4.287648  4.286702
  1.196094  3.077710  4.288594  4.287648
  1.196484  3.079385  4.289539  4.288594
  1.196875  3.081061  4.290483  4.289539
  1.197266  3.082737  4.291427  4.290483
  1.197656  3.084413  4.292371  4.291427
  1.198047  3.086090  4.293313  4.292371
  1.198438  3.087767  4.294256  4.293313
  1.198828  3.089444  4.295197  4.294256
  1.199219  3.091122  4.296138  4.295197
  1.199609  3.092800  4.297079  4.296138
  1.200000  3.094479  4.298019  4.297079
  1.200391  3.096158  4.298958  4.298019
  1.200781  3.097837  4.299897  4.298958
  1.201172  3.099517  4.300835  4.299897
  1.201563  3.101197  4.301773  4.300835
  1.201953  3.102877  4.302710  4.301773
  1.202344  3.104558  4.303646  4.302710
  1.202734  3.106239  4.304582  4.303646
  1.203125  3.107920  4.305517  4.304582
  1.203516  3.109602  4.306452  4.305517
  1.203906  3.111284  4.307386  4.306452
  1.204297  3.112967  4.308319  4.307386
  1.204688  3.114650  4.309252  4.308319
  1.205078  3.116333  4.310185  4.309252
  1.205469  3.118017  4.311116  4.310185
  1.205859  3.119701  4.312047  4.311116
  1.206250  3.121385  4.312978  4.312047
  1.206641  3.123070  4.313908  4.312978
  1.207031  3.124755  4.314837  4.313908
  1.207422  3.126441  4.315766  4.314837
  1.207813  3.128126  4.316694  4.315766
  1.208203  3.129813  4.317622  4.316694
  1.208594  3.131499  4.318549  4.317622
  1.208984  3.133186  4.319475  4.318549
  1.209375  3.134873  4.320401  4.319475
  1.209766  3.136561  4.321327  4.320401
  1.210156  3.138249  4.322251  4.321327
  1.210547  3.139938  4.323175  4.322251
  1.210938  3.141626  4.324099  4.323175
  1.211328  3.143315  4.325022  4.324099
  1.211719  3.145005  4.325944  4.325022
  1.212109  3.146695  4.326865  4.325944
  1.212500  3.148385  4.327786  4.326865
  1.212891  3.150075  4.328707  4.327786
  1.213281  3.151766  4.329627  4.328707
  1.213672  3.153458  4.330546  4.329627
  1.214063  3.155149  4.331465  4.330546
  1.214453  3.156841  4.332383  4.331465
  1.214844  3.158533  4.333300  4.332383
  1.215234  3.160226  4.334217  4.333300
  1.215625  3.161919  4.335133  4.334217
  1.216016  3.163613  4.336049  4.335133
